0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
28   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/tessabot4000/projects/blacklight_app/jetty/contexts at interval 0
35   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/tessabot4000/projects/blacklight_app/jetty/contexts/solr.xml
108  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/Users/tessabot4000/projects/blacklight_app/jetty/webapps/solr.war!/ to /Users/tessabot4000/projects/blacklight_app/jetty/solr-webapp/webapp
1946 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2000 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2022 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2022 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/tessabot4000/projects/blacklight_app/jetty/solr
2023 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/tessabot4000/projects/blacklight_app/jetty/solr/'
2026 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/' to classloader
2026 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
2026 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
2027 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
2162 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /Users/tessabot4000/projects/blacklight_app/jetty/solr/solr.xml
2358 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1133050397
2360 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/Users/tessabot4000/projects/blacklight_app/jetty/solr/]
2362 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /Users/tessabot4000/projects/blacklight_app/jetty/solr/lib
2363 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/' to classloader
2363 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
2364 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
2364 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
2383 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2383 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2388 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2388 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2388 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2389 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2389 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2389 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2389 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2583 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2585 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2586 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
2778 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/'
2832 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
2833 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-53.1.jar' to classloader
2833 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
2834 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
2834 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-stemming-1.7.1.jar' to classloader
2835 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.9.0.jar' to classloader
2835 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.9.0.jar' to classloader
2836 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.9.0.jar' to classloader
2836 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/tessabot4000/projects/blacklight_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.9.0.jar' to classloader
2954 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_4_0
3085 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
3090 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
3140 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [blacklight-core] Schema name=Blacklight Demo Index
3248 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
3252 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
3267 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
3272 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
3275 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
3429 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
3430 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
3432 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
3587 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core' using configuration from instancedir /Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/
3602 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
3609 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Opening new SolrCore at /Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/, dataDir=/Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data/
3609 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: blacklight-core
3623 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data
3628 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data/index/
3629 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrCore  – [blacklight-core] Solr index directory '/Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
3637 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data/index
3690 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=/Users/tessabot4000/projects/blacklight_app/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
3691 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3756 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
3760 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
3760 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
3763 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
3763 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
3763 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
3766 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
